rowname	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s3	s4	s5	s6	s7	s8	s9
XIST	1.441026593135335	-1.0103675084239445	-0.7616499156560412	-0.4677490287406684	-0.7585612489103974	1.6762610632664285	-0.7484964161294907	1.5336362416713547	-0.7503963361470852	-0.3045592618651382	-0.3217675807145877	-0.32505703733841773	-0.7096377427716709	1.3058826312041591	-0.8273085408216104	-0.5856380186608817	1.389032397750812	-0.6451060748130352	-0.5598483244540132	1.4303041084188939
UTY	-1.574296099730004	0.5317912637574326	0.496382572335775	0.6931760930540046	0.5086682518923851	-1.5829813444199308	0.817177349206106	-0.9992401342068505	0.766726207960717	0.8250284409809915	0.6334991575801725	0.5137877998900008	0.7987299616966688	-1.591811931848193	0.704372935246986	0.5354250375511733	-1.5933008671215427	0.507092752988056	0.4812433091936653	-1.4714707560076088
IGKC	-0.8150669558891214	1.6151396458842953	0.5146605297586978	-0.8158003314099868	-0.7531987655196319	-1.2368178879250487	-1.2368178879250487	-0.6516016388235857	-0.625142070960643	-1.0086635916165945	-1.0611119357112482	0.2964743187325573	1.0390980405536803	1.137178388487193	1.2655223210986994	0.4452035713028974	0.12449083624467841	1.463737299873125	1.085889466809532	-0.7831733529644485
TTTY14	-1.6364314584722066	0.355933212956523	0.4911447228311101	0.8418799098195002	0.40608795506071427	-1.416366441192082	0.5867689790001377	-1.0206304764965692	0.5719727228855225	0.703443575681812	0.2459406558002305	0.5275378195012614	0.7148191367728874	-1.5263154093380822	0.7475889800019564	0.9811731021517188	-1.5004023815975636	0.8785982838767613	0.6830395135521568	-1.6357824027957846
DDX3Y	-1.5602986453922156	0.7535372952955728	0.1838414334843436	0.9849064175244155	0.3306307794007828	-1.327229802732045	0.23660427652951976	-0.9488906540543921	0.15382449218493657	0.7306562918274664	0.6974120573881435	0.11220263200905585	0.9589625755875475	-1.5602986453922156	0.9943677619490355	0.8349514740278521	-1.5602986453922156	0.8310753592000929	0.7143421919465338	-1.5602986453922156
HSPA6	-0.17186130717238163	0.4977262965782234	-0.966363692909918	1.466118808593295	-0.8326716006071315	-1.0827583379451415	-1.667115573637689	-0.7289715922057247	-1.546428320646921	0.6148074046275569	0.08662427132554278	-0.6188161302977772	1.2682302842793303	0.44583761378218123	1.118104665548217	0.9785973971931377	-0.07711271278119274	1.5498630651766856	0.4751207864133797	-0.8089313253136746
NLGN4Y	-1.592334797626466	0.4481006804604932	0.7645140412409964	0.5108515633894474	0.6677319918288114	-1.6732718426124364	0.963488772900057	-1.1973222392094776	0.9415248704409821	0.8335370682927364	0.46833437956976826	0.6929826945670859	0.5121532076942701	-1.3054785275750063	0.20378599709348227	0.43518608923391283	-1.532380261387922	0.5026738913145206	0.8013566302170273	-1.4454342098322792
SERPINH1	-0.613026139155135	0.25621331378838	-1.0922652384537535	1.6034113266300576	-1.0225317415802206	-1.1270525599020977	-1.327429960049374	-0.3943798292495326	-1.3147764557772896	0.41953040157902577	-0.14440123682756362	-1.0159673345103348	1.423270044177846	0.5849885076868423	1.3235133117130748	1.048747843850903	0.20279965396331495	1.3075387336855495	0.500478307369566	-0.6186609489392563
KDM5D	-1.572257535073775	0.46717281090196605	0.6628099601815223	0.7560006555828374	0.7608432415927031	-1.572257535073775	0.8619186718730487	-1.1101323205535987	0.7721317669275837	0.6591483377009523	0.5073241573309133	0.5486903980102025	0.7989678347747924	-1.572257535073775	0.8112801589465923	0.33790844926704927	-1.4003222273903488	0.39396178045993085	0.46132646468895505	-1.572257535073775
HSPH1	-0.5525747418600795	0.31645419569131517	-1.007578376639323	1.6303760520720363	-1.1069427776050456	-1.1500438676752653	-1.1435871495356673	-0.22330689287915942	-1.2208878770307474	0.8348720883218158	0.30026829834517005	-1.2872336139999905	1.67798856919548	0.05585860648263285	1.3827202810181094	0.9732592281080185	-0.2597264633336146	1.0090830623266442	0.2669751206856749	-0.49597374168800645
USP9Y	-1.425956760363049	0.39154232182020426	0.4795362350246096	0.8062229207696932	0.39441882141857937	-1.4809308799115068	0.7206306581542742	-1.1282886496723021	0.683890327562298	0.7589243953144413	0.5385627657075868	0.4838402962439261	0.8421560671712071	-1.5656364214814558	0.8169742058157705	0.5096017695069218	-1.589742459594469	0.7160338874966964	0.6738904325805419	-1.6256699335639684
IGHG1	-0.7724153542445339	1.6650479533669365	0.35161221334873755	-0.9463833055084112	-0.9463833055084112	-0.9463833055084112	-0.9463833055084112	-0.6640361663657238	-0.7181886449421454	-0.7881624946593564	-0.9463833055084112	0.05932829785697613	0.4577459746472432	1.144169265978532	1.3049783321445463	0.9517280999791025	-0.10867659858742845	1.9007478398806341	0.8944211146469482	-0.9463833055084112
HSPE1-MOB4	-0.9057404175372029	0.16656687405580142	-1.1187389799285758	1.766119814675584	-1.261625376792131	-0.9307784304565379	-0.8441142181206442	-0.41131147519674	-0.9446279447044025	1.0905097737109166	0.1964906554661238	-0.9611404414515269	1.6992403371263838	0.1065958072046789	1.4481906366872743	1.0087779728155175	-0.3080445116930683	0.8182252068409016	0.1566692223407924	-0.771264505043146
BAG3	-0.7715795481575397	0.396556485879066	-1.122296757169967	1.4706281998483757	-1.1184349642114644	-1.00597331662734	-1.0570298344123827	-0.2801069643925792	-1.2906607113599193	1.085410563737715	0.19631674145192107	-1.0273289274676243	1.3266933311699651	0.24381169952190623	1.4031664829523844	1.1542157252817784	-0.21926742653951692	1.1492766228745965	0.3644798036811633	-0.8978772060605332
